   ;Name;Mode;Reserved;Bytes;Cycles;ExtraCycles;MX
$00;BRK;#IM;;2;7;;
$10;BPL;REL;;2;2;2;
$20;JSR;ABS;;3;6;;
$30;BMI;REL;;2;2;2;
$40;RTI;;;1;7;;
$50;BVC;REL;;2;2;2;
$60;RTS;;;1;6;;
$70;BVS;REL;;2;2;2;
$80;NOP;#IM;1;2;2;;
$90;BCC;REL;;2;2;2;
$A0;LDY;#IM;;2;2;;
$B0;BCS;REL;;2;2;2;
$C0;CPY;#IM;;2;2;;
$D0;BNE;REL;;2;2;2;
$E0;CPX;#IM;;2;2;;
$F0;BEQ;REL;;2;2;2;
$01;ORA;(ZP,X);;2;6;;
$11;ORA;(ZP),Y;;2;5;1;
$21;AND;(ZP,X);;2;6;;
$31;AND;(ZP),Y;;2;5;1;
$41;EOR;(ZP,X);;2;6;;
$51;EOR;(ZP),Y;;2;5;1;
$61;ADC;(ZP,X);;2;6;;
$71;ADC;(ZP),Y;;2;5;1;
$81;STA;(ZP,X);;2;6;;
$91;STA;(ZP),Y;;2;5;1;
$A1;LDA;(ZP,X);;2;6;;
$B1;LDA;(ZP),Y;;2;5;1;
$C1;CMP;(ZP,X);;2;6;;
$D1;CMP;(ZP),Y;;2;5;1;
$E1;SBC;(ZP,X);;2;6;;
$F1;SBC;(ZP),Y;;2;5;1;
$02;KIL;;1;;;;
$12;KIL;;1;;;;
$22;KIL;;1;;;;
$32;KIL;;1;;;;
$42;KIL;;1;;;;
$52;KIL;;1;;;;
$62;KIL;;1;;;;
$72;KIL;;1;;;;
$82;NOP;#IM;1;2;2;;
$92;KIL;;1;;;;
$A2;LDX;#IM;;2;2;;
$B2;KIL;;1;;;;
$C2;NOP;#IM;1;2;2;;
$D2;KIL;;1;;;;
$E2;NOP;#IM;1;2;2;;
$F2;KIL;;1;;;;
$03;SLO;(ZP,X);1;2;8;;
$13;SLO;(ZP),Y;1;2;8;1;
$23;RLA;(ZP,X);1;2;8;;
$33;RLA;(ZP),Y;1;2;8;1;
$43;SRE;(ZP,X);1;2;8;;
$53;SRE;(ZP),Y;1;2;8;1;
$63;RRA;(ZP,X);1;2;8;;
$73;RRA;(ZP),Y;1;2;8;1;
$83;SAX;(ZP,X);1;2;6;;
$93;AHX;(ZP),Y;1;2;6;1;
$A3;LAX;(ZP,X);1;2;6;;
$B3;LAX;(ZP),Y;1;2;5;1;
$C3;DCP;(ZP,X);1;2;8;;
$D3;DCP;(ZP),Y;1;2;8;1;
$E3;ISC;(ZP,X);1;2;8;;
$F3;ISC;(ZP),Y;1;2;8;1;
$04;NOP;ZP;1;2;3;;
$14;NOP;ZP,X;1;2;4;;
$24;BIT;ZP;;2;3;;
$34;NOP;ZP,X;1;2;4;;
$44;NOP;ZP;1;2;3;;
$54;NOP;ZP,X;1;2;4;;
$64;NOP;ZP;1;2;3;;
$74;NOP;ZP,X;1;2;4;;
$84;STY;ZP;;2;3;;
$94;STY;ZP,X;;2;4;;
$A4;LDY;ZP;;2;3;;
$B4;LDY;ZP,X;;2;4;;
$C4;CPY;ZP;;2;3;;
$D4;NOP;ZP,X;1;2;4;;
$E4;CPX;ZP;;2;4;;
$F4;NOP;ZP,X;1;2;;;
$05;ORA;ZP;;2;3;;
$15;ORA;ZP,X;;2;4;;
$25;AND;ZP;;2;3;;
$35;AND;ZP,X;;2;4;;
$45;EOR;ZP;;2;3;;
$55;EOR;ZP,X;;2;4;;
$65;ADC;ZP;;2;3;;
$75;ADC;ZP,X;;2;4;;
$85;STA;ZP;;2;3;;
$95;STA;ZP,X;;2;4;;
$A5;LDA;ZP;;2;3;;
$B5;LDA;ZP,X;;2;4;;
$C5;CMP;ZP;;2;3;;
$D5;CMP;ZP,X;;2;4;;
$E5;SBC;ZP;;2;3;;
$F5;SBC;ZP,X;;2;4;;
$06;ASL;ZP;;2;5;;
$16;ASL;ZP,X;;2;6;;
$26;ROL;ZP;;2;5;;
$36;ROL;ZP,X;;2;6;;
$46;LSR;ZP;;2;5;;
$56;LSR;ZP,X;;2;6;;
$66;ROR;ZP;;2;5;;
$76;ROR;ZP,X;;2;6;;
$86;STX;ZP;;2;3;;
$96;STX;ZP,Y;;2;4;;
$A6;LDX;ZP;;2;3;;
$B6;LDX;ZP,Y;;2;4;;
$C6;DEC;ZP;;2;5;;
$D6;DEC;ZP,X;;2;6;;
$E6;INC;ZP;;2;5;;
$F6;INC;ZP,X;;2;6;;
$07;SLO;ZP;1;2;5;;
$17;SLO;ZP,X;1;2;6;;
$27;RLA;ZP;1;2;5;;
$37;RLA;ZP,X;1;2;6;;
$47;SRE;ZP;1;2;5;;
$57;SRE;ZP,X;1;2;6;;
$67;RRA;ZP;1;2;5;;
$77;RRA;ZP,X;1;2;6;;
$87;SAX;ZP;1;2;3;;
$97;SAX;ZP,X;1;2;4;;
$A7;LAX;ZP;1;2;3;;
$B7;LAX;ZP,X;1;2;4;;
$C7;DCP;ZP;1;2;5;;
$D7;DCP;ZP,X;1;2;6;;
$E7;ISC;ZP;1;2;5;;
