   ;Name;Mode;Reserved;Bytes;Cycles;ExtraCycles;Jump;MXE
$00;BRK;#IM;;2;7;;1;
$10;BPL;REL;;2;2;2;1;
$20;JSR;ABS;;3;6;;1;
$30;BMI;REL;;2;2;2;1;
$40;RTI;;;1;6;;1;4
$50;BVC;REL;;2;2;2;1;
$60;RTS;;;1;6;;1;
$70;BVS;REL;;2;2;2;1;
$80;BRA;REL;;2;3;2;1;
$90;BCC;REL;;2;2;2;1;
$A0;LDY;#IM;;2;2;;;2
$B0;BCS;REL;;2;2;2;1;
$C0;CPY;#IM;;2;2;;;2
$D0;BNE;REL;;2;2;2;1;
$E0;CPX;#IM;;2;2;;;2
$F0;BEQ;REL;;2;2;2;1;
$01;ORA;(ZP,X);;2;6;;;1
$11;ORA;(ZP),Y;;2;5;1;;1
$21;AND;(ZP,X);;2;6;;;1
$31;AND;(ZP),Y;;2;5;1;;1
$41;EOR;(ZP,X);;2;6;;;1
$51;EOR;(ZP),Y;;2;5;1;;1
$61;ADC;(ZP,X);;2;6;;;1
$71;ADC;(ZP),Y;;2;5;1;;1
$81;STA;(ZP,X);;2;6;;;1
$91;STA;(ZP),Y;;2;5;1;;1
$A1;LDA;(ZP,X);;2;6;;;1
$B1;LDA;(ZP),Y;;2;5;1;;1
$C1;CMP;(ZP,X);;2;6;;;1
$D1;CMP;(ZP),Y;;2;5;1;;1
$E1;SBC;(ZP,X);;2;6;;;1
$F1;SBC;(ZP),Y;;2;5;1;;1
$02;COP;#IM;;2;7;;1;
$12;ORA;(ZP);;2;5;;;1
$22;JSL;ABSL;;4;8;;1;
$32;AND;(ZP);;2;5;;;1
$42;WDM;#IM;;2;2;;;
$52;EOR;(ZP);;2;5;;;1
$62;PER;ABS;;3;6;;;
$72;ADC;(ZP);;2;5;;;1
$82;BRL;RELL;;3;4;;1;
$92;STA;(ZP);;2;5;;;1
$A2;LDX;#IM;;2;2;;;2
$B2;LDA;(ZP);;2;5;;;1
$C2;REP;#IM;;2;3;;;
$D2;CMP;(ZP);;2;5;;;1
$E2;SEP;#IM;;2;3;;;
$F2;SBC;(ZP);;2;5;;;1
$03;ORA;ZP,S;;2;4;;;
$13;ORA;(ZP,S),Y;;2;7;;;
$23;AND;ZP,S;;2;4;;;1
$33;AND;(ZP,S),Y;;2;7;;;1
$43;EOR;ZP,S;;2;4;;;1
$53;EOR;(ZP,S),Y;;2;7;;;1
$63;ADC;ZP,S;;2;4;;;1
$73;ADC;(ZP,S),Y;;2;7;;;1
$83;STA;ZP,S;;2;4;;;1
$93;STA;(ZP,S),Y;;2;7;;;1
$A3;LDA;ZP,S;;2;4;;;1
$B3;LDA;(ZP,S),Y;;2;7;;;1
$C3;CMP;ZP,S;;2;4;;;1
$D3;CMP;(ZP,S),Y;;2;7;;;1
$E3;SBC;ZP,S;;2;4;;;1
$F3;SBC;(ZP,S),Y;;2;7;;;1
$04;TSB;ZP;;2;5;;;1
$14;TRB;ZP;;2;5;;;1
$24;BIT;ZP;;2;3;;;1
$34;BIT;ZP,X;;2;4;;;1
$44;MVP;#IM,#IM;;3;7;3;;
$54;MVN;#IM,#IM;;3;7;3;;
$64;STZ;ZP;;2;3;;;1
$74;STZ;ZP,X;;2;4;;;1
$84;STY;ZP;;2;3;;;2
$94;STY;ZP,X;;2;4;;;2
$A4;LDY;ZP;;2;3;;;2
$B4;LDY;ZP,X;;2;4;;;2
$C4;CPY;ZP;;2;3;;;2
$D4;PEI;ZP;;2;6;;;
$E4;CPX;ZP;;2;3;;;2
$F4;PEA;ABS;;3;5;;;
$05;ORA;ZP;;2;3;;;1
$15;ORA;ZP,X;;2;4;;;1
$25;AND;ZP;;2;3;;;1
$35;AND;ZP,X;;2;4;;;1
$45;EOR;ZP;;2;3;;;1
$55;EOR;ZP,X;;2;4;;;1
$65;ADC;ZP;;2;3;;;1
$75;ADC;ZP,X;;2;4;;;1
$85;STA;ZP;;2;3;;;1
$95;STA;ZP,X;;2;4;;;1
$A5;LDA;ZP;;2;3;;;1
$B5;LDA;ZP,X;;2;4;;;1
$C5;CMP;ZP;;2;3;;;1
$D5;CMP;ZP,X;;2;4;;;1
$E5;SBC;ZP;;2;3;;;1
