   ;Name;Mode;Reserved;Bytes;Cycles;ExtraCycles;MX;Jump
$00;BRK;#IM;;2;7;;;1
$10;BPL;REL;;2;2;;;2
$20;JSR;ABS;;3;5;;;1
$30;BMI;REL;;2;2;;;2
$40;RTI;;;1;5;;;1
$50;BVC;REL;;2;2;;;2
$60;RTS;;;1;4;;;1
$70;BVS;REL;;2;2;;;2
$80;BRA;REL;;2;2;;;1
$90;BCC;REL;;2;2;;;2
$A0;LDY;#IM;;2;2;;;
$B0;BCS;REL;;2;2;;;2
$C0;CPY;#IM;;2;2;;;
$D0;BNE;REL;;2;2;;;2
$E0;CPX;#IM;;2;2;;;
$F0;BEQ;REL;;2;2;;;2
$01;ORA;(ZP,X);;2;5;;;
$11;ORA;(ZP),Y;;2;5;;;
$21;AND;(ZP,X);;2;5;;;
$31;AND;(ZP),Y;;2;5;;;
$41;EOR;(ZP,X);;2;5;;;
$51;EOR;(ZP),Y;;2;5;;;
$61;ADC;(ZP,X);;2;5;;;
$71;ADC;(ZP),Y;;2;5;;;
$81;STA;(ZP,X);;2;5;;;
$91;STA;(ZP),Y;;2;5;;;
$A1;LDA;(ZP,X);;2;5;;;
$B1;LDA;(ZP),Y;;2;5;;;
$C1;CMP;(ZP,X);;2;5;;;
$D1;CMP;(ZP),Y;;2;5;;;
$E1;SBC;(ZP,X);;2;5;;;
$F1;SBC;(ZP),Y;;2;5;;;
$02;CLE;;;1;2;;;
$12;ORA;(ZP);;2;5;;;
$22;JSR;(ABS);;3;7;1;;
$32;AND;(ZP);;2;5;;;
$42;NEG;;;1;2;;;
$52;EOR;(ZP),Z;;2;5;;;
$62;RTN;#IM;;2;7;1;;
$72;ADC;(ZP);;2;5;;;
$82;ADC;(ZP),Z;;2;6;;;
$92;STA;(ZP);;2;5;;;
$A2;LDX;#IM;;2;2;;;
$B2;LDA;(ZP);;2;5;;;
$C2;CPZ;#IM;;2;2;;;
$D2;CMP;(ZP);;2;5;;;
$E2;LDA;(REL,S),Y;;2;6;;;
$F2;SBC;(ZP);;2;5;;;
$03;SEE;;;1;2;;;
$13;BPL;RELL;;3;3;2;;
$23;JSR;(ABS,X);;3;7;1;;
$33;BMI;RELL;;3;3;2;;
$43;ASR;;;1;2;;;
$53;BVC;RELL;;3;3;2;;
$63;BSR;RELL;;3;5;1;;
$73;BVS;RELL;;3;3;2;;
$83;BRA;RELL;;3;3;1;;
$93;BCC;RELL;;3;3;2;;
$A3;LDZ;#IM;;2;2;;;
$B3;BCS;RELL;;3;3;2;;
$C3;DEW;ZP;;2;6;;;
$D3;BNE;RELL;;3;3;2;;
$E3;INW;ZP;;2;6;;;
$F3;BEQ;RELL;;3;3;2;;
$04;TSB;ZP;;2;4;;;
$14;TRB;ZP;;2;4;;;
$24;BIT;ZP;;2;3;;;
$34;BIT;ZP,X;;2;3;;;
$44;ASR;ZP;;2;4;;;
$54;ASR;ZP,X;;2;4;;;
$64;STZ;ZP;;2;3;;;
$74;STZ;ZP,X;;2;3;;;
$84;STY;ZP;;2;3;;;
$94;STY;ZP,X;;2;3;;;
$A4;LDY;ZP;;2;3;;;
$B4;LDY;ZP,X;;2;3;;;
$C4;CPY;ZP;;2;3;;;
$D4;CPZ;ZP;;2;3;;;
$E4;CPX;ZP;;2;3;;;
$F4;PHW;#IML;;3;5;;;
$05;ORA;ZP;;2;3;;;
$15;ORA;ZP,X;;2;3;;;
$25;AND;ZP;;2;3;;;
$35;AND;ZP,X;;2;3;;;
$45;EOR;ZP;;2;3;;;
$55;EOR;ZP,X;;2;3;;;
$65;ADC;ZP;;2;3;;;
$75;ADC;ZP,X;;2;3;;;
$85;STA;ZP;;2;3;;;
$95;STA;ZP,X;;2;3;;;
$A5;LDA;ZP;;2;3;;;
$B5;LDA;ZP,X;;2;3;;;
$C5;CMP;ZP;;2;3;;;
$D5;CMP;ZP,X;;2;3;;;
$E5;SBC;ZP;;2;3;;;
$F5;SBC;ZP,X;;2;3;;;
$06;ASL;ZP;;2;4;;;
$16;ASL;ZP,X;;2;4;;;
$26;ROL;ZP;;2;4;;;
$36;ROL;ZP,X;;2;4;;;
$46;LSR;ZP;;2;4;;;
$56;LSR;ZP,X;;2;4;;;
$66;ROR;ZP;;2;4;;;
$76;ROR;ZP,X;;2;4;;;
$86;STX;ZP;;2;3;;;
$96;STX;ZP,Y;;2;3;;;
$A6;LDX;ZP;;2;3;;;
$B6;LDX;ZP,Y;;2;3;;;
$C6;DEC;ZP;;2;4;;;
$D6;DEC;ZP,X;;2;4;;;
$E6;INC;ZP;;2;4;;;
$F6;INC;ZP,X;;2;4;;;
$07;RMB0;ZP;;2;4;;;
$17;RMB1;ZP;;2;4;;;
$27;RMB2;ZP;;2;4;;;
$37;RMB3;ZP;;2;4;;;
$47;RMB4;ZP;;2;4;;;
$57;RMB5;ZP;;2;4;;;
$67;RMB6;ZP;;2;4;;;
$77;RMB7;ZP;;2;4;;;
$87;SMB0;ZP;;2;4;;;
$97;SMB1;ZP;;2;4;;;
$A7;SMB2;ZP;;2;4;;;
$B7;SMB3;ZP;;2;4;;;
$C7;SMB4;ZP;;2;4;;;
$D7;SMB5;ZP;;2;4;;;
$E7;SMB6;ZP;;2;4;;;
$F7;SMB7;ZP;;2;4;;;
